"Оператор (филиал)";"Время начала действия базовой станции";"Время конца действия базовой станции";"Адрес расположения (неструктурированный)";"Идентификаторы сектора";"Параметры антенной системы";"Тип сети";"Координаты - широта";"Координаты - долгота";"Координаты - тип проекции";"Тип местности";"Ид.БС";"Ид.сектора";"LAC";"CELL (сектор)";"Телеф. ид. соты";"Азимут, гр.";"Ширина растра, гр.";"Угол наклона";"Мощность, Вт";"Частота излучения";"Высота подвеса, м";"Коэффициент усиления(Дб)";"Поляризация";"Тип расположения БС";"Ширина диаграммы по вертикали (в градусах)";"Поколение";"Номер контроллера БС";"Код БС (BCC + NCC)";"Тип БС соты";"Класс излучения";"Наименование БС";"Десятичный номер канала";"Нижняя частота";"Верхняя частота";"Уровень боковых лепестков";"CELL (WiFi/WiMax)";"MAC-адреса сектора"
"39";"2022-04-05 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Кубинская,   0.12 км южнее пересечения с Костюшко ул, столб";"0";"0";"0";"59.84722";"30.29206";"0";"";"";"";"17838";"52191490";"";"315";"58";"8";"13";"2600";"26";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_03873_LTN";"";"";"";"";"";""
"39";"2022-04-05 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. 6-я Жерновская,   0.03 км северо-восточнее дома 7 литера А, ОДН";"0";"0";"0";"59.96542";"30.49681";"0";"";"";"";"19306";"56292042";"";"155";"63";"5";"2";"1800";"25";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03753_DULTN";"";"";"";"";"";""
"39";"2022-04-05 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. 6-я Жерновская,   0.03 км северо-восточнее дома 7 литера А, ОДН";"0";"0";"0";"59.96542";"30.49681";"0";"";"";"";"17806";"56291843";"";"30";"63";"5";"25";"1800";"25";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03753_DULTN";"";"";"";"";"";""
"39";"2022-04-04 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Малоохтинский, д. 45/стр. литер А";"0";"0";"0";"59.93395";"30.40153";"0";"";"";"";"223";"61868";"";"0";"0";"0";"20";"2100";"3";"2";"";"0";"180";"1";"RNC_78_16";"";"1";"";"BTS_78_0371_GDULN";"";"";"";"";"";""
"39";"2022-04-03 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Пятилеток, д. 1";"0";"0";"0";"59.92165";"30.46819";"0";"";"";"";"332";"65361";"";"0";"0";"0";"8";"1800";"7";"3";"";"0";"55";"0";"BSC_78_57";"42";"1";"";"BTS_78_2665_GDULTN";"656";"";"";"";"";""
"39";"2022-04-01 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Пятилеток, д. 1";"0";"0";"0";"59.92165";"30.46819";"0";"";"";"";"17851";"51882260";"";"215";"65";"0";"3";"2600";"12";"14";"45";"1";"20";"2";"";"";"0";"";"BTS_78_2665_GDULTN";"";"";"";"";"";""
"39";"2022-04-01 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, п Металлострой, дор. На Металлострой, д. 3/к.10/стр. 1";"0";"0";"0";"59.78381";"30.54884";"0";"";"";"";"232";"62127";"";"145";"62";"5";"";"2100";"14";"16";"45";"1";"7";"1";"";"";"0";"";"BTS_78_06212_ULTN";"";"";"";"";"";""
"39";"2022-04-01 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Пятилеток, д. 1";"0";"0";"0";"59.92165";"30.46819";"0";"";"";"";"17851";"51882423";"";"0";"0";"15";"3";"2100";"7";"3";"";"0";"55";"2";"";"";"1";"";"BTS_78_2665_GDULTN";"";"";"";"";"";""
"39";"2022-04-01 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Пятилеток, д. 1";"0";"0";"0";"59.92165";"30.46819";"0";"";"";"";"17851";"51882403";"";"0";"0";"15";"3";"2100";"7";"3";"";"0";"55";"2";"";"";"1";"";"BTS_78_2665_GDULTN";"";"";"";"";"";""
"39";"2022-04-01 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Пятилеток, д. 1";"0";"0";"0";"59.92165";"30.46819";"0";"";"";"";"17851";"51882364";"";"0";"0";"15";"3";"2100";"7";"3";"";"0";"55";"2";"";"";"1";"";"BTS_78_2665_GDULTN";"";"";"";"";"";""
"39";"2022-04-01 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Пятилеток, д. 1";"0";"0";"0";"59.92165";"30.46819";"0";"";"";"";"17851";"51882264";"";"0";"0";"0";"1";"2100";"7";"3";"";"0";"55";"2";"";"";"1";"";"BTS_78_2665_GDULTN";"";"";"";"";"";""
"39";"2022-03-31 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Софьи Ковалевской,   0.05 км восточнее дома 12 литера А, ОДН";"0";"0";"0";"60.01512";"30.41107";"0";"";"";"";"17806";"52067589";"";"250";"63";"3";"25";"1800";"26";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03714_LTN";"";"";"";"";"";""
"39";"2022-03-31 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Софьи Ковалевской,   0.05 км восточнее дома 12 литера А, ОДН";"0";"0";"0";"60.01512";"30.41107";"0";"";"";"";"17806";"52067585";"";"140";"61";"4";"13";"2600";"26";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_03714_LTN";"";"";"";"";"";""
"39";"2022-03-30 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Всеволожский, п/р Центральное отделение,   столб";"0";"0";"0";"59.86076";"30.53608";"0";"";"";"";"232";"39955";"";"140";"69";"2";"20";"1800";"29";"16";"45";"1";"8";"0";"BSC_78_57";"67";"0";"";"BTS_78_03995_DLTN";"670";"";"";"";"";""
"39";"2022-03-30 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Кузнецова, д. 22/к.1/стр. литер А";"0";"0";"0";"59.85464";"30.18597";"0";"";"";"";"17833";"51734806";"";"250";"58";"6";"6";"2600";"54";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_2089_GDULTN";"";"";"";"";"";""
"39";"2022-03-30 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Ветеранов,   0.08 км северо-западнее дома 58 литера А, ОДН";"0";"0";"0";"59.83769";"30.23269";"0";"";"";"";"17823";"56289559";"";"135";"62";"2";"13";"2100";"26";"16";"45";"1";"7";"2";"";"";"0";"";"BTS_78_03959_ULTN";"";"";"";"";"";""
"39";"2022-03-30 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Ветеранов,   0.08 км северо-западнее дома 58 литера А, ОДН";"0";"0";"0";"59.83769";"30.23269";"0";"";"";"";"17823";"56289556";"";"135";"61";"3";"6";"2600";"26";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_03959_ULTN";"";"";"";"";"";""
"39";"2022-03-29 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, п Металлострой, дор. На Металлострой, д. 3/к.10/стр. 1";"0";"0";"0";"59.78381";"30.54884";"0";"";"";"";"19336";"52790473";"";"145";"63";"7";"2";"1800";"14";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_06212_ULTN";"";"";"";"";"";""
"39";"2022-03-27 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Героев,   0.03 км юго-восточнее дома 31 строение 1, ОДН";"0";"0";"0";"59.85891";"30.15442";"0";"";"";"";"17823";"52120600";"";"165";"65";"4";"20";"2100";"26";"17";"45";"1";"7";"2";"";"";"0";"";"BTS_78_03596_GLTN";"";"";"";"";"";""
"39";"2022-03-26 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Профессора Попова, д. 37/стр. литер Щ";"0";"0";"0";"59.97172";"30.29938";"0";"";"";"";"17849";"51875843";"";"0";"0";"0";"40";"1800";"3";"3";"";"0";"55";"2";"";"";"1";"";"BTS_78_2640_ULN";"";"";"";"";"";""
"39";"2022-03-25 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, наб. Реки Карповки,   в районе пересечения с Каменноостровским проспектом, столб металлический";"0";"0";"0";"59.96978";"30.30643";"0";"";"";"";"17849";"52842006";"";"285";"58";"3";"6";"2600";"13";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_6414_DULTN";"";"";"";"";"";""
"39";"2022-03-25 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, наб. Реки Карповки,   в районе пересечения с Каменноостровским проспектом, столб металлический";"0";"0";"0";"59.96978";"30.30643";"0";"";"";"";"17849";"52842004";"";"45";"58";"3";"6";"2600";"13";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_6414_DULTN";"";"";"";"";"";""
"39";"2022-03-24 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, наб. Реки Смоленки, д. 3/к.1/литера А";"0";"0";"0";"59.94978";"30.26396";"0";"";"";"";"19305";"52007626";"";"215";"67";"5";"1";"1800";"28";"17";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03154_ULN";"";"";"";"";"";""
"39";"2022-03-23 00:00:00";"2044-01-01 00:00:00";"Россия, обл. Ленинградская, р-н Тосненский, д Аннолово, ул. Центральная, д. 35";"0";"0";"0";"59.62864";"30.54424";"0";"";"";"";"17810";"51683862";"";"285";"60";"4";"6";"2600";"22";"18";"45";"1";"5";"2";"";"";"0";"";"BTS_78_1890_GULTN";"";"";"";"";"";""
"39";"2022-03-23 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, наб. Реки Смоленки, д. 3/к.1/литера А";"0";"0";"0";"59.94978";"30.26396";"0";"";"";"";"17805";"52007426";"";"310";"63";"5";"";"2600";"28";"18";"45";"1";"6";"2";"";"";"0";"";"BTS_78_03154_ULN";"";"";"";"";"";""
"39";"2022-03-23 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пл. Балканская, д. 5";"0";"0";"0";"59.82861";"30.37909";"0";"";"";"";"17837";"51949947";"";"0";"0";"0";"20";"2100";"3";"3";"";"0";"55";"2";"";"";"1";"";"BTS_78_2929_DULN";"";"";"";"";"";""
"39";"2022-03-22 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Лесопарковая,   юго-западнее дома 15 литер Б, башня";"0";"0";"0";"59.97448";"30.53186";"0";"";"";"";"17806";"51906581";"";"245";"58";"4";"13";"2600";"40";"17";"45";"1";"5";"2";"";"";"0";"";"BTS_78_2760_GULTN";"";"";"";"";"";""
"39";"2022-03-22 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Коммуны, д. 67/стр. литер БН";"0";"0";"0";"59.97106";"30.49161";"0";"";"";"";"17806";"51818262";"";"260";"61";"8";"6";"2600";"28";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_2415_GULTN";"";"";"";"";"";""
"39";"2022-03-22 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Коммуны, д. 67/стр. литер БН";"0";"0";"0";"59.97106";"30.49161";"0";"";"";"";"17806";"51818261";"";"135";"61";"8";"6";"2600";"28";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_2415_GULTN";"";"";"";"";"";""
"39";"2022-03-22 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, ул. Доблести,   0.03 км южнее дома 9 строение 1, ОДН";"0";"0";"0";"59.86286";"30.17981";"0";"";"";"";"19333";"56302281";"";"75";"63";"4";"2";"1800";"26";"16";"45";"1";"8";"2";"";"";"0";"";"BTS_78_03954_LTN";"";"";"";"";"";""
"39";"2022-03-22 00:00:00";"2044-01-01 00:00:00";"Россия, г. Санкт-Петербург, пр-т Авиаконструкторов,   0.03 км юго-восточнее дома 28 литера А, ОДН";"0";"0";"0";"60.02336";"30.23002";"0";"";"";"";"17807";"56291349";"";"100";"61";"4";"6";"2600";"26";"17";"45";"1";"6";"2";"";"";"0";"";"BTS_78_03932_LTN";"";"";"";"";"";""
